Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.74185E-4,75.512055121,0.850092105,0.05035905,0.788306452,0
3.75287E-4,75.774451805,0.850927966,0.049714601,0.790322581,0
3.76244E-4,76.03756772,0.851649569,0.049070153,0.793346774,0
3.76915E-4,76.263571631,0.852153749,0.048517768,0.796370968,0
3.78121E-4,76.52795072,0.853054844,0.04787332,0.797379032,0
3.78675E-4,76.755001186,0.853467127,0.047320935,0.80141129,0
3.79683E-4,77.02036696,0.854214574,0.046676487,0.802419355,0
3.80251E-4,77.286411776,0.854633696,0.046032038,0.805443548,0
3.81105E-4,77.514860299,0.855261747,0.045479654,0.807459677,0
3.82119E-4,77.781962616,0.856004226,0.044835205,0.810483871,0
3.83101E-4,78.011590327,0.856719728,0.044282821,0.8125,0
3.84661E-4,78.280088345,0.857849306,0.043638372,0.8125,0
3.85547E-4,78.511112103,0.858486297,0.043085988,0.814516129,0
3.86373E-4,78.78137762,0.859078239,0.042441539,0.816532258,0
3.87326E-4,79.013506827,0.859757289,0.041889155,0.819556452,0
3.88918E-4,79.285339021,0.86088522,0.041244706,0.824596774,0
3.92025E-4,79.519779426,0.863059982,0.040692322,0.825604839,0
3.9266E-4,79.755232399,0.863500626,0.040139937,0.828629032,0
3.94406E-4,80.030754053,0.864703938,0.039495489,0.830645161,0
3.9628E-4,80.268142012,0.865983404,0.038943104,0.831653226,0
3.97631E-4,80.506451578,0.866898522,0.03839072,0.833669355,0
4.0027E-4,80.78587747,0.868668408,0.037746271,0.834677419,0
4.02244E-4,81.026620996,0.869976649,0.037193887,0.836693548,0
4.04104E-4,81.268668101,0.871197432,0.036641502,0.838709677,0
4.05823E-4,81.511743834,0.872315481,0.036089118,0.841733871,0
4.07626E-4,81.755945225,0.87347739,0.035536734,0.844758065,0
4.0874E-4,82.000782364,0.874190416,0.034984349,0.845766129,0
4.11412E-4,82.288232155,0.87588405,0.034339901,0.847782258,0
4.12405E-4,82.535420446,0.876507429,0.033787516,0.847782258,0
4.14356E-4,82.783731731,0.877723061,0.033235132,0.847782258,0
4.16491E-4,83.033008502,0.87903993,0.032682747,0.849798387,0
4.1702E-4,83.283103841,0.879364029,0.032130363,0.850806452,0
4.1896E-4,83.533856306,0.880545523,0.031577978,0.853830645,0
4.21323E-4,83.785753074,0.881968351,0.031025594,0.856854839,0
4.24672E-4,84.039326021,0.883956165,0.030473209,0.859879032,0
4.25855E-4,84.252093075,0.884650584,0.030012889,0.861895161,0
4.28793E-4,84.508566192,0.886356167,0.029460505,0.86391129,0
4.30331E-4,84.766422875,0.887239588,0.02890812,0.864919355,0
4.31445E-4,85.024938562,0.88787461,0.028355736,0.866935484,0
4.3305E-4,85.284581261,0.888783346,0.027803351,0.868951613,0
4.35475E-4,85.501898341,0.890143066,0.027343031,0.869959677,0
4.37356E-4,85.763983678,0.891186268,0.026790646,0.870967742,0
4.39238E-4,86.027005235,0.892219704,0.026238262,0.872983871,0
4.41282E-4,86.29107148,0.893331408,0.025685877,0.876008065,0
4.4283E-4,86.512107049,0.894165659,0.025225557,0.876008065,0
4.43945E-4,86.822645723,0.894761999,0.024581108,0.878024194,0
4.44807E-4,87.000493058,0.89522143,0.024212852,0.879032258,0
4.45502E-4,87.267589845,0.895589802,0.023660468,0.880040323,0
4.46508E-4,87.535185601,0.896121102,0.023108083,0.882056452,0
4.48476E-4,87.758881123,0.897152803,0.022647763,0.884072581,0
4.50005E-4,88.028513671,0.897947566,0.022095378,0.885080645,0
4.51344E-4,88.254006346,0.8986382,0.021635058,0.888104839,0
4.53691E-4,88.525598166,0.89983769,0.021082674,0.892137097,0
4.56439E-4,88.753297497,0.901223837,0.020622353,0.894153226,0
4.57126E-4,89.027440704,0.901567566,0.020069969,0.89516129,0
4.58202E-4,89.256295211,0.902103234,0.019609648,0.897177419,0
4.60518E-4,89.531792729,0.903246119,0.019057264,0.898185484,0
4.62385E-4,89.762488564,0.904157863,0.018596943,0.899193548,0
4.64057E-4,90.040497791,0.904967115,0.018044559,0.901209677,0
4.66613E-4,90.273230178,0.906191355,0.017584239,0.905241935,0
4.67995E-4,90.507047217,0.906846479,0.017123918,0.90625,0
4.69009E-4,90.788153878,0.907324089,0.016571534,0.908266129,0
4.70772E-4,91.023092595,0.908149216,0.016111213,0.911290323,0
4.73544E-4,91.259062461,0.90943141,0.015650893,0.914314516,0
4.75187E-4,91.543687801,0.910182842,0.015098509,0.916330645,0
4.77479E-4,91.781853571,0.911221222,0.014638188,0.919354839,0
4.7942E-4,92.021094643,0.912090619,0.014177868,0.920362903,0
4.83228E-4,92.261814814,0.913772045,0.013717547,0.922379032,0
4.84907E-4,92.504023957,0.914503485,0.013257227,0.924395161,0
4.87881E-4,92.795893454,0.915783323,0.012704843,0.928427419,0
4.90292E-4,93.040571253,0.916806547,0.012244522,0.930443548,0
4.92083E-4,93.286297378,0.917558938,0.011784202,0.933467742,0
4.94035E-4,93.532961492,0.918370973,0.011323881,0.9375,0
4.95223E-4,93.780251401,0.918861412,0.010863561,0.941532258,0
4.97686E-4,94.028525096,0.919868831,0.010403241,0.943548387,0
5.00235E-4,94.277997041,0.920897995,0.00994292,0.946572581,0
